,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Max Aarons,eng ENG,DF,Bournemouth,Premier League,25-039,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Joshua Acheampong,eng ENG,DF,Chelsea,Premier League,18-283,2006,2,2,160,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
2,Tyler Adams,us USA,MF,Bournemouth,Premier League,25-364,1999,14,9,866,9.6,0,3,3,0,0,0,4,0,1.1,1.1,0.7,1.8,7,39,4,0.00,0.31,0.31,0.00,0.31,0.11,0.07,0.18,0.11,0.18
3,Tosin Adarabioyo,eng ENG,DF,Chelsea,Premier League,27-141,1997,12,9,823,9.1,1,0,1,1,0,0,2,0,0.8,0.8,0.0,0.8,5,26,1,0.11,0.00,0.11,0.11,0.11,0.09,0.00,0.09,0.09,0.09
4,Simon Adingra,ci CIV,"FW,MF",Brighton,Premier League,23-042,2002,16,6,598,6.6,2,1,3,2,0,0,0,0,1.5,1.5,0.9,2.4,22,8,76,0.30,0.15,0.45,0.30,0.45,0.22,0.14,0.36,0.22,0.36
5,Emmanuel Agbadou,ci CIV,DF,Wolves,Premier League,27-240,1997,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
6,Asher Agbinone,eng ENG,MF,Crystal Palace,Premier League,19-137,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79
7,Ola Aina,ng NGA,DF,Nott'ham Forest,Premier League,28-127,1996,24,24,"2,081",23.1,2,1,3,2,0,0,2,0,0.6,0.6,0.6,1.2,47,82,45,0.09,0.04,0.13,0.09,0.13,0.02,0.03,0.05,0.02,0.05
8,Rayan Aït-Nouri,dz ALG,DF,Wolves,Premier League,23-251,2001,23,23,"1,953",21.7,3,5,8,3,0,0,6,1,1.6,1.6,2.3,3.8,54,76,104,0.14,0.23,0.37,0.14,0.37,0.07,0.10,0.18,0.07,0.18
9,Kristoffer Ajer,no NOR,DF,Brentford,Premier League,26-301,1998,11,10,792,8.8,0,0,0,0,0,0,3,0,0.6,0.6,0.8,1.4,17,32,22,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.16,0.06,0.16
10,Manuel Akanji,ch SUI,DF,Manchester City,Premier League,29-208,1995,20,20,"1,707",19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
11,Nathan Aké,nl NED,DF,Manchester City,Premier League,29-360,1995,9,7,602,6.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,39,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
12,Carlos Alcaraz,ar ARG,MF,Southampton,Premier League,22-074,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,Premier League,26-128,1998,22,21,"1,734",19.3,1,6,7,1,0,0,4,0,1.2,1.2,6.4,7.6,41,159,76,0.05,0.31,0.36,0.05,0.36,0.06,0.33,0.39,0.06,0.39
14,Alisson,br BRA,GK,Liverpool,Premier League,32-133,1992,15,15,"1,338",14.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
15,Miguel Almirón,py PAR,FW,Newcastle Utd,Premier League,31-002,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45
16,Edson Álvarez,mx MEX,MF,West Ham,Premier League,27-111,1997,19,14,"1,229",13.7,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,14,55,14,0.00,0.07,0.07,0.00,0.07,0.02,0.06,0.08,0.02,0.08
17,Will Alves,eng ENG,FW,Leicester City,Premier League,20-009,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,Premier League,18-209,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29
19,Joachim Andersen,dk DEN,DF,Crystal Palace,Premier League,28-257,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
20,Joachim Andersen,dk DEN,DF,Fulham,Premier League,28-257,1996,15,15,"1,323",14.7,0,0,0,0,0,0,3,1,0.3,0.3,0.3,0.7,8,63,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.05,0.02,0.05
21,Elliot Anderson,eng ENG,MF,Nott'ham Forest,Premier League,22-098,2002,23,19,"1,552",17.2,1,5,6,1,0,0,5,0,1.1,1.1,2.8,4.0,32,76,59,0.06,0.29,0.35,0.06,0.35,0.07,0.17,0.23,0.07,0.23
22,André,br BRA,MF,Wolves,Premier League,23-211,2001,19,17,"1,312",14.6,0,0,0,0,0,0,3,0,0.1,0.1,0.5,0.6,5,51,4,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
23,Michail Antonio,jm JAM,FW,West Ham,Premier League,34-321,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41
24,Antony,br BRA,"DF,MF",Manchester Utd,Premier League,24-354,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73
25,Julian Araujo,mx MEX,DF,Bournemouth,Premier League,23-183,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Cameron Archer,eng ENG,FW,Southampton,Premier League,23-206,2001,21,10,"1,047",11.6,2,0,2,2,0,1,0,0,4.4,3.6,0.3,4.0,15,11,46,0.17,0.00,0.17,0.17,0.17,0.38,0.03,0.41,0.31,0.34
27,Alphonse Areola,fr FRA,GK,West Ham,Premier League,31-351,1993,13,12,"1,090",12.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,Joe Aribo,ng NGA,MF,Southampton,Premier League,28-206,1996,23,15,"1,465",16.3,3,0,3,3,0,0,1,0,2.6,2.6,1.5,4.0,29,56,54,0.18,0.00,0.18,0.18,0.18,0.16,0.09,0.25,0.16,0.25
